【阿黨比周】	相互勾結，相互偏袒，結黨營私。
【勢不可遏】	猶勢不可當。
【勢不兩存】	見“勢不兩立”。
【勢不兩立】	謂敵對的事物不能同時並存。
【勢合形離】	謂總體結構完整而其各部分形體又自相獨立。
【勢均力敵】	謂雙方力量相當，不相上下。
【勢鈞力敵】	見“勢均力敵”。
【勢窮力蹙】	同“勢窮力屈”。
【勢窮力竭】	同“勢窮力屈”。
【勢窮力屈】	形勢窘迫，力量衰竭。
【勢如劈竹】	見“勢如破竹”。
【勢如破竹】	《晉書·杜預傳》：“今兵威已振，譬如破竹，數節之後，皆迎刃而解。”後因以“勢如破竹”比喻作戰或工作節節勝利，毫無阻礙。
【視財如命】	愛惜錢財如同愛惜生命。形容極為貪錢吝嗇。
【視丹如綠】	看紅色就像綠色。形容憂愁迷亂而致眼睛昏花。
【視而不見，聽而不聞】	看見了同沒有看見一樣，聽見了同沒有聽見一樣。形容不重視，不注意。
【視而不見】	看見了同沒有看見一樣。形容不關心，不注意。
【視民如傷】	形容帝王、官吏極其顧恤民眾疾苦。
【視民如子】	形容帝王、官吏愛護百姓。
【視人如傷】	見“視民如傷”。
【視人如子】	見“視民如子”。
【視日如年】	謂時間雖短，但卻感到過得很長。
【視如草芥】	語本《孟子·離婁下》：“君之視臣如土芥，則臣視君如寇讎。”後因以“視如草芥”比喻極端輕視。
【視如糞土】	看得如同穢土那樣下賤。比喻極端蔑視。
【視如陌路】	見“視若路人”。
【視若兒戲】	見“視同兒戲”。
【視若路人】	把親人或熟人看作陌路人。
【視若無睹】	看見了好像沒看見。形容對眼前事物漠不關心。
【視死如歸】	把赴死看作如歸家一樣。形容不怕死。多指為了正義，不惜犧牲。
【視死如生】	見“視死若生”。
【視死如飴】	謂甘心死去。
【視死若歸】	見“視死如歸”。
【視死若生】	把死去看做活著一樣。形容不怕死。
【視死猶歸】	見“視死如歸”。
【視同兒戲】	把重大的事情看作小孩子做遊戲。形容極不嚴肅，十分隨便。
【視同拱璧】	看作兩手合抱的璧玉。比喻十分珍貴。
【視同陌路】	見“視若路人”。
【視同秦越】	先秦時秦越兩國，一在西北，一在東南，相去極遠。後因稱疏遠隔膜、互不相關為“視同秦越”。
【視同一律】	同等看待。
【視微知著】	看到細微跡象，就能知道它的發展趨勢。
【視為兒戲】	見“視同兒戲”。
【視為寇讎】	《孟子·離婁下》：“君之視臣如土芥，則臣視君如寇讎。”後因以“視為寇讎”比喻極端仇視。
【視為畏途】	語本《莊子·達生》：“夫畏涂者，十殺一人，則父子兄弟相戒也。”後因以“視為畏途”謂把某一處所或事情看得危險、艱難。
【視下如傷】	見“視民如傷”。
【視險如夷】	把危險看作平安。形容勇敢，不畏艱險。
【視險若夷】	見“視險如夷”。
【視遠步高】	高視闊步。形容態度傲慢。
【視之不見，聽之不聞】	見“視而不見，聽而不聞”。
【飾非拒諫】	粉飾掩蓋錯誤，拒絕規勸。
【飾非遂過】	粉飾錯誤，養成過失。
【飾非文過】	粉飾掩蓋過失、錯誤。
【飾非掩過】	同“飾非文過”。
【飾非養過】	見“飾非遂過”。
【飾垢掩疵】	粉飾掩蓋污點和缺點。
【飾怪裝奇】	謂故為怪異。
【飾情矯行】	謂掩飾自己的真心本意，行為矯揉造作。
【飾智矜愚】	謂裝作有智慧而在無知者面前誇耀。語本《莊子·山木》：“飾知以驚愚，脩身以明汙。”
【室邇人遐】	見“室邇人遠”。
【室邇人遙】	見“室邇人遠”。
【室邇人遠】	亦作“室邇人遐”。亦作“室邇人遙”。語本《詩·鄭風·東門之墠》：“東門之墠，茹藘在阪，其室則邇，其人甚遠。”硃熹集傳：“室邇人遠者，思之而未得見之辭也。”後常用為懷念親故或悼念亡者之詞。
【室怒市色】	生家中人的氣，卻以怒色對待市人。謂遷怒於人。語出《左傳·昭公十九年》：“彼何罪？諺所謂‘室於怒，市於色’者，楚之謂矣。舍前之忿可也。”杜預註：“言靈王怒吳子而執其弟，猶忿于室家而作色于市人。”
【室如縣罄】	亦作“室如懸磬”。亦作“室如懸罄”。謂室中空無所有。比喻一貧如洗。
【室如懸磬】	見“室如縣罄”。
【室如懸罄】	見“室如縣罄”。
【室徒四壁】	又作：室內空無一物。喻貧窮。
【恃才傲物】	自負其才，藐視他人。
【恃強凌弱】	依仗強暴，欺侮弱小。
【拭目而待】	見“拭目以待”。
【拭目以待】	擦亮眼睛等著看。形容對事情發展殷切關注。
【拭目以俟】	見“拭目以待”。
【是非顛倒】	硬把對的說成錯的，把錯的說成對的。
【是非口舌】	因說話引起的誤會或糾紛。
【是非曲直】	對的和不對的；有理和無理的。
【是非只為多開口】	糾紛爭端都是說話太多引起的。
【是非自有公論】	事情的是非曲直，公眾自會作出恰當的評判。語本南朝宋劉義慶《世說新語·品藻》：“扞庾公呴又問：‘何者居其右？’王曰：‘自有人。’又問：‘何者是？’王曰：‘噫！其自有公論。’”
【是古非今】	崇尚古代的，貶低現代的。指保守復古。
【是可忍，孰不可忍】	假如這個都可以容忍，還有什麼不可以容忍的呢。意謂絕對不能容忍。語出《論語·八佾》：“孔子謂季氏，八佾舞於庭，是可忍也，孰不可忍也！”
【是是非非】	①肯定正確的，否定錯誤的，指評定是非。②指正確與錯誤。
【舐糠及米】	喻貪婪蠶食。
【逝將去汝】	訣別之辭。
【逝者如斯】	語出《論語·子罕》：“子在川上曰：‘逝者如斯夫！不捨晝夜。’”後用以謂光陰如流水一去不返。
【釋縛焚櫬】	謂解開降者的捆綁，燒掉降者帶來的棺材。是使降者安心的一種表示。語出《左傳·昭公四年》：“成王克許，許僖公如是。王親釋其縛，受其璧，焚其櫬。”
【釋回增美】	《禮記·禮器》：“禮，釋回，增美質。”鄭玄註：“釋，猶去也；回，邪辟也；質，猶性也。”後以“釋回增美”謂去除邪僻，增加美善。
【釋生取義】	又作：捨生取義。
【釋知遺形】	又作：棄智忘身。謂超然物外，與世無爭。
【誓不兩立】	立誓不與仇敵共生存於人世間。形容雙方仇恨很深。
【誓海盟山】	同“山盟海誓”。
【誓日指天】	見“誓天指日”。
【誓山盟海】	同“山盟海誓”。
【誓死不二】	見“誓死不貳”。
【誓死不貳】	立誓至死不生二心。形容忠貞不渝或意志堅定專一。
【誓死不屈】	立誓寧死也不屈服。
【誓死不渝】	立誓至死不變。
【誓天斷髮】	斷髮向天起誓。
【誓天指日】	對著天、日發誓。
【誓同生死】	立誓同生共死。形容十分密切，不可拆散。
【誓以皦日】	謂誓同生死，親愛終生。語本《詩·王風·大車》：“穀則異室，死則同穴。謂予不信，有如皦日。”
【適材適所】	謂辦事能力與所安排的工作位置或場所相當。
【適當其衝】	正好對著衝要。
【適當其時】	謂恰巧遇上那個時機。
【適得其反】	謂恰恰得到相反的結果。
【適逢其會】	謂正好碰上那個時機。
【適逢其時】	見“適逢其會”。
【適居其反】	見“適得其反”。
【適可而止】	謂到了適當的程度就停止下來。
【適情率意】	又作：放任情意。
【適情任欲】	又作：任情縱慾。
【適如其分】	又作：恰如其分。
【適時應務】	適合時宜，順應世務。
【適俗隨時】	又作：順應時俗。
【適心娛目】	又作：喜心悅目。
【適性任情】	謂順適性情。
【適性忘慮】	謂順悅情性忘卻憂慮。
【適以相成】	謂恰好可以相輔相成。
【噬臍莫及】	見“噬臍無及”。
【噬臍無及】	亦作“噬臍莫及”。自咬腹臍夠不著。比喻後悔不及。
【螫手解腕】	《史記·田儋列傳》：“蝮螫手則斬手，螫足則斬足。何者？為害於身也。”《三國志·魏志·陳泰傳》：“蝮蛇螫手，壯士解其腕。”後以“螫手解腕”比喻為了顧全大局而忍痛犧牲局部。
【收殘綴軼】	收集殘缺，綴補漏失。
【收成棄敗】	謂趨附得勢的人，輕視遭貶黜的人。
【收刀檢卦】	謂停止胡作非為。
【收離糾散】	收集離散者。
【收離聚散】	見“收離糾散”。
【收鑼罷鼓】	停止敲擊鑼鼓。比喻結束，結尾。
【收旗扌卷傘】	喻停止活動。
【收視反聽】	謂不視不聽。形容專心致志，心不旁騖。
【收因結果】	謂了卻前緣，得到結果。舊有因果報應之說，謂前有因緣則必有相對的後果。
【收因種果】	見“收因結果”。
【收園結果】	見“收因結果”。
【收緣結果】	見“收因結果”。
【收之桑榆】	《後漢書·馮異傳》：“始雖垂翅回谿，終能奮翼黽池，可謂失之東隅，收之桑榆”。謂初雖有失，而終得補償。後以“收之桑榆”謂事猶未晚，尚可補救。
【手不釋卷】	手執書本沒有放下的時候。形容勤讀不倦。
【手不釋書】	猶手不釋卷。
【手不應心】	又作：力不從心。
【手到病除】	形容醫術高明。
【手到拿來】	謂不費力氣就能將必須擒拿的人捉到。
【手到拈來】	比喻辦事不費力氣就能成功。
【手到擒來】	謂不費力氣就把敵人擒捉過來。
【手高眼低】	①謂作事的能力強而辨識能力低。②謂自己的企求高而眼界卻很低。喻貪得而不識貨。
【手揮目送】	三國魏嵇康所作《四言贈兄秀才公穆入軍詩》之十四，有“目送歸鴻，手揮五弦，俯仰自得，游心太玄”之句，謂一面仰視飛鳥，一面揮手彈琴，手眼並用，無不自如。後以“手揮目送”比喻行文得心應手。
【手疾眼快】	謂動作敏捷。
【手腳乾淨】	喻廉潔奉公。
【手腳無措】	同“手足無措”。
【手忙腳亂】	形容做事慌亂而無條理。
【手胼足胝】	猶手足胼胝。
【手無寸刃】	謂手裡一點武器都沒有。
【手無寸鐵】	猶手無寸刃。
【手無縛雞之力】	雙手沒有捆縛住雞的力氣。形容文弱。
【手舞足蹈】	①舞蹈時配合樂曲，兩手舞動雙足跳動。後多用以形容心情高度興奮、用動作來表達的狀態。語本《詩大序》：“情動於中而形於言。言之不足，故嗟嘆之。嗟嘆之不足，故永歌之。永歌之不足，不知手之舞之，足之蹈之也。”②指朝儀中臣下的拜舞。
【手眼通天】	比喻善於鑽營，手腕不尋常。
【手足胼胝】	手足生繭。極言勞瘁。
【手足失措】	手足失去安放的地方。形容極其驚慌。
【手足無措】	手腳無安放處。喻動輒得咎，不知所從。語出《論語·子路》：“刑罰不中，則民無所措手足。”《禮記·仲尼燕居》：“若無禮，則手足無所措，耳目無所加，進退揖讓無所制。”《陳書·後主紀》：“自畫冠既息，刻吏斯起，法令滋章，手足無措。”後亦用以形容臨事慌張，不知如何是好。
【手足異處】	謂被殺。
【手足之情】	謂兄弟的情分。
【手足重繭】	手足生厚繭。極言勞瘁。語本《淮南子·修務訓》：“昔者楚欲攻宋，墨子聞而悼之，自魯趍而十日十夜，足重繭而不休息。”
【扌捲土重來】	謂失敗後傾其全部力量再圖恢復。
【守分安常】	信守本分，安於故常。
【守口如瓶】	形容說話謹慎，不輕易出言。後多形容嚴守秘密。
【守瓶緘口】	又作：守口如瓶。謂閉口不言。
【守缺抱殘】	亦作“守闕抱殘”。守住殘缺的東西不放。比喻泥古守舊，不思變革。
【守闕抱殘】	見“守缺抱殘”。
【守望相助】	謂相互共同防禦。
【守先待後】	猶繼往開來；承先啟後。
【守約施搏】	謂所操者簡易而施與者廣大。語本《孟子·盡心下》：“言近而指遠者，善言也；守約而施博者，善道也。”
【守正不阿】	堅守正道，不曲從迎合。
【守正不回】	堅守正道，不屈從。
【守正不撓】	《漢書·劉向傳》：“君子獨處守正，不橈眾枉。”顏師古註：“橈，屈也，不為眾曲而自屈也。”橈，一本作“撓”。後以“守正不撓”形容為人、做事堅守正道而不屈從。
【守正不橈】	見“守正不撓”。
【守株待兔】	①《韓非子·五蠹》：“宋人有耕田者，田中有株，兔走，觸柱折頸而死，因釋其耒而守株，冀復得兔，兔不可復得，而身為宋國笑。今欲以先王之政，治當世之民，皆守株之類也。”後因以“守株待兔”比喻死守狹隘經驗，不知變通。②比喻企圖不經過主觀努力而僥倖得到意外的收穫。
【首當其衝】	處在衝要位置。比喻最先受到攻擊或遭遇災難。
【首屈一指】	屈指計數時首先彎下大拇指。因以“首屈一指”表示第一，居首位。
【首善之地】	①指首都。②最好的地方。
【首善之區】	見“首善之地”。
【首施兩端】	見“首鼠兩端”。
【首鼠兩端】	猶豫不決、動搖不定貌。
【首尾相繼】	前後連接不斷。
【首尾相連】	見“首尾相繼”。
【首尾相衛】	喻互相援救。
【首尾相應】	①《孫子·九地》：“故善用兵者，譬如率然；率然者，常山之蛇也。擊其首則尾至，擊其尾則首至，擊其中則首尾俱至。”後以“首尾相應”指作戰時軍隊各部分互相照應支援。②指詩文前後關聯，互相呼應，形容結構嚴謹。
【首尾相援】	謂前後互相照應。
【首下尻高】	頭向下，屁股翹起。跪拜磕頭的樣子。
【首足異處】	頭和腳分開在不同的地方。謂受殺戮而死亡。
【壽不壓職】	謂只論職位，不論年齡。
【壽陵失步】	《莊子·秋水》：“且子獨不聞壽陵餘子之學行於邯鄲與？未得國能，又失其故行矣，直匍匐而歸耳。”後以“壽陵失步”比喻倣傚不成，反而喪失了固有技能。
【壽山福海】	吉祥語。比喻壽如山高、福似海深。
【壽終正寢】	①謂年老時在家安然死去。正寢，舊式住宅的正屋。有時泛指人死去，常帶有諷刺幽默的意味。②比喻事物的消亡。
【受寵若驚】	驟然受到意外的寵愛而感到驚喜和不安。
【狩岳巡方】	謂帝王巡狩方岳。
【獸迒鳥跡】	鳥獸之跡。
【獸聚鳥散】	謂聚散無常有如鳥獸。多比喻遊牧民族。
【獸困則噬】	獸陷困境要咬人。比喻人陷于絕境要竭力反抗。
【獸窮則齧】	謂野獸陷于絕境必然進行搏噬反撲。亦喻人陷入困窘之境，便會竭力反擊。
【獸心人面】	面貌雖是人，心卻如野獸。形容人凶惡殘暴。
【授柄於人】	又作：授人以柄。
【授人口實】	留給別人以話柄。
【授人以柄】	把劍柄交給別人。比喻將權力交給別人或讓人抓住缺點、失誤，使自己被動。語本《漢書·梅福傳》：“倒持泰阿，授楚其柄。”
【瘦骨棱棱】	同“瘦骨嶙峋”。
【瘦骨嶙嶙】	同“瘦骨嶙峋”。
【瘦骨伶仃】	形容人或動物瘦得皮包骨的樣子。
【瘦骨零丁】	見“瘦骨伶仃”。
【瘦羊博士】	《後漢書·甄宇傳》“建武中，扞甄宇呴為州從事，徵拜博士”李賢注引《東觀漢記》：“建武中每臘，詔書賜博士一羊。羊有大小肥瘦。時博士祭酒議，欲殺羊分肉，又欲投鉤，宇復恥之。宇因先自取其最瘦者，由是不復有爭訟，後召會問‘瘦羊博士’所在，京師因以號之。”後用以指能克己讓人的人。
【書不盡言】	《易·繫辭上》：“子曰：‘書不盡言，言不盡意。’”謂文辭難充分達意。後多作書信結尾習用語。
【書不盡意】	猶書不盡言。
【書不釋手】	手裡的書捨不得放下。形容勤學或看書入迷。
【書畫卯酉】	又作：上下班。卯時簽到，酉時簽退。
【書空咄咄】	語本南朝宋劉義慶《世說新語、黜免》：“殷中軍被廢，在信安，終日恆書空作字。揚州吏民尋義逐之，竊視，唯作‘咄咄怪事’四字而已。”後因以“書空咄咄”為嘆息、憤慨、驚詫的的典實。
【書囊無底】	謂古今書籍不可勝數。
【書缺有間】	《史記·五帝本紀》：“《書》缺有間矣，其軼乃時時見於他說。”張守節正義：“言《古文尚書》缺失其間多矣，而無說黃帝之語。”後因以“書缺有間”泛指古書殘缺已有多年。
【書生之見】	指讀書人不切實際或不合時宜的見解。
【書通二酉】	比喻讀書甚多，學識豐富精湛。二酉，指大酉山、小酉山。據說小酉山上石穴中有書千卷，相傳秦人于此而學，因留之。見《太平禦覽》卷四九引南朝宋盛弘之《荊州記》。後因以此為喻。
【書同文，車同軌】	語出《禮記·中庸》：“今天下車同軌，書同文。”謂車軌相同，文字相同。形容天下統一。
【書香門第】	指世代都是讀書人的家庭。
【書香門戶】	見“書香門第”。
【書香人家】	同“書香門第”。
【書香世家】	同“書香門第”。
【叔度陂湖】	《後漢書·黃憲傳》：“叔度汪汪若千頃陂，澄之不清，淆之不濁，不可量也。”叔度，黃憲字。後以喻人度量寬大。
【殊方同致】	猶殊途同歸。
【殊路同歸】	同“殊涂同歸”。
【殊涂同歸】	語出《易·繫辭下》：“天下同歸而殊涂，一致而百慮。”孔穎達疏：“言天下萬事終則同歸於一，但初時殊異其涂路也。”本謂由不同途徑達到同一目的地。後以喻採用不同方法得到相同結果。
【殊涂同會】	猶殊途同歸。
【殊涂同致】	猶殊途同歸。
【殊途同歸】	見“殊涂同歸”。
【殊形詭狀】	又作：奇形怪狀。
【殊言別語】	指方言土語。
【殊致同歸】	同“殊涂同歸”。
【梳文櫛字】	謂訓釋文字。
【梳雲掠月】	指婦女梳妝。“雲”指髮髻之形，“月”喻婦女容貌。
【梳妝打扮】	見“梳妝打扮”。
【梳妝打扮】	亦作“梳妝打扮”。對容顏衣著進行修飾。
【疏不間親】	謂關係疏遠者不介入關係親近者之間的事。
【疏不閒親】	見“疏不間親”。
【疏財尚氣】	同“疏財重義”。
【疏財仗義】	輕視錢財而講求義氣。多指用錢助人，扶危濟困。
【疏財重義】	輕錢財而重義氣。
【疏而不漏】	①謂法網雖寬，並無遺漏者。語本《老子》：“天網恢恢，疏而不失。”②簡要而不遺漏。
【疏水簞瓢】	粗糙的飲食，簡陋的食具。指安貧樂道。
【攄肝瀝膽】	同“披肝瀝膽”。
【輸肝瀝膽】	見“輸肝剖膽”。
【輸肝剖膽】	比喻對人極為忠誠。
【輸肝寫膽】	見“輸肝剖膽”。
【輸心服意】	又作：真心順從。
【熟讀深思】	反復地閱讀，認真地思考。
【熟路輕車】	見“熟路輕轍”。
【熟路輕轍】	駕輕快的車，走熟悉的路。比喻處世有經驗，辦起事來很容易。
【熟能生巧】	熟練了就能產生巧辦法。
【熟視無睹】	經常看到卻像不曾看見一樣。形容對眼前的事物不關心或漫不經心。語本晉劉伶《酒德頌》：“靜聽不聞雷霆之聲，熟視不睹泰山之形。”
【熟視無睹】	見“熟視無睹”。
【熟思審處】	反復思考，審慎籌劃。
【暑雨祁寒】	夏大雨，冬大寒。《書·君牙》：“夏暑雨，小民惟曰怨咨，冬祁寒，小民亦惟曰怨咨，厥惟艱哉！”蔡沈集傳：“祁，大也。暑雨祁寒，小民怨咨，自傷其生之艱難也。”後以“暑雨祁寒”為怨嗟生計艱難之典。
【黍離麥秀】	相傳西周亡後，“周大夫行役，至於宗周”，見舊時宗廟宮室，盡為禾黍之地，觸景傷懷，無限感慨，而作《黍離》之詩。又箕子朝周，過故殷墟，見宮室毀壞，盡生禾黍，哀傷不已，而作《麥秀》之歌。事見《詩·王風·黍離》、《史記·宋微子世家》。後遂用作典故，以“黍離麥秀”為感慨亡國之詞。
【黍秀宮庭】	相傳西周亡後，所有舊時的宗廟宮室盡為禾黍之地。後遂以“黍秀宮庭”作為感慨亡國之詞。語本《詩·王風·黍離序》：“黍離，閔宗周也。周大夫行役，至於宗周，過故宗廟宮室，盡為禾黍，閔周室之顛覆，徬徨不忍去。”
【黍油麥秀】	《尚書大傳》卷二：“微子朝周，過殷故墟，見麥秀之蘄蘄兮……曰：此父母之國。乃為《麥秀之歌》，曰：‘麥秀漸漸兮，禾黍油油。彼狡童兮，不我好仇！’”按，《史記·宋微子世家》亦載此事，“微子”作“箕子”。後因以“黍油麥秀”為亡國之痛的感嘆。
【鼠臂蟣肝】	又作：鼠肝蟲臂。謂或為鼠臂或為蟣肝，指人世變化無常。
【鼠攛狼奔】	見“鼠竄狼奔”。
【鼠竄蜂逝】	形容紛紛跑散。
【鼠竄狗盜】	像鼠狗那樣奔竄偷盜。
【鼠竄狼奔】	形容倉皇亂逃。
【鼠盜狗竊】	同“鼠竊狗盜”。
【鼠肚雞腸】	又作：鼠腹雞腸。
【鼠腹雞腸】	比喻人器量小，不能容人。
【鼠腹蝸腸】	又作：鼠腹雞腸。
【鼠肝蟲臂】	①語本《莊子·大宗師》：“偉哉造化，又將奚以汝為？將奚以汝適？以汝為鼠肝乎？以汝為蟲臂乎？”原意為以人之大，亦可以化為鼠肝蟲臂等微賤之物。後因以“鼠肝蟲臂”比喻微末輕賤的人或物。②指不可掌握的變化。
【鼠跡狐蹤】	比喻人行蹤鬼祟。
【鼠目寸光】	喻人眼光短，見識淺。
【鼠目麞頭】	同“麞頭鼠目”。
【鼠目麞頭】	見“鼠目麞頭”。
【鼠齧蟲穿】	鼠咬蟲蛀。
【鼠齧蠹蝕】	鼠咬蟲蛀。
【鼠憑社貴】	老鼠憑藉土神廟逞威。比喻君主近臣依仗君主威勢橫行無忌。語本《韓非子·外儲說右上》：“君亦見夫為社者乎？樹木而涂之，鼠穿其間，掘穴託其中，燻之則恐焚木，灌之則恐涂陁，此社鼠之所以不得也。今人君之左右……吏不誅則亂法，誅之則君不安，據而有之，此亦國之社鼠也。”
【鼠竊狗盜】	①比喻小偷小盜或小規模的搶掠騷擾。②指小股盜賊。
【鼠竊狗偷】	①同“鼠竊狗盜”。②指男女之間不正當的行為。③比喻鬼祟卑鄙。④指委瑣低劣。
【鼠雀之輩】	蔑視他人之詞。謂鄙陋卑微之徒。
【鼠雀之牙】	指爭訟之事。
【鼠入牛角】	比喻勢力愈來愈小。
【鼠屎汙羹】	比喻加進了不好的東西，從而破壞了原來美的事物。
【鼠偷狗盜】	同“鼠竊狗盜”。
【鼠心狼肺】	形容心腸陰險狠毒。
【鼠穴尋羊】	比喻沒有功效的做法。
【鼠牙雀角】	①《詩·召南·行露》：“誰謂雀無角，何以穿我屋？誰謂女無家，何以速我獄……誰謂鼠無牙，何以穿我墉？誰謂女無家，何以速我訟？”原謂強暴侵凌引起爭訟。後因以“鼠牙雀角”比喻強暴勢力。②指訟事或引起爭訟的細微小事。
【蜀錦吳綾】	比喻（聲名）高貴。
【蜀犬吠日】	蜀郡多霧，不常見日，每逢日出，狗皆疑而驚叫。語本唐柳宗元《答韋中立論師道書》：“屈子賦曰：‘邑犬群吠，吠所怪也。’仆往聞庸蜀之南，恆雨少日，日出則犬吠。”後常以“蜀犬吠日”比喻少見多怪。
【曙後星孤】	唐孟棨《本事詩·徵咎》：“崔曙進士作《明堂火珠》詩試帖曰：‘夜來雙月滿，曙後一星孤。’當時以為警句。及來年卒，唯一女名星星，人始悟其自讖也。”後因用為人死後僅遺孤女之典實。
【束貝含犀】	謂牙齒如緊密排列的貝殼和瓠犀。形容牙齒整齊潔白。
【束兵秣馬】	猶厲兵秣馬。
【束椽為柱】	捆紮椽子當柱子用。比喻小材大用。
【束帶結髮】	束系衣帶，輓起髮髻。謂出仕。
【束髮封帛】	《新唐書·列女傳·賈直言妻董》：“直言坐事。貶嶺南，以妻少，乃訣曰：‘生死不可期，吾去，可亟嫁，無須也。’董不答，引繩束髮，封以帛，使直言署，曰：‘非君手不解。’直言貶二十年乃還，署帛宛然。乃湯沐，發墮無餘。”後以“束髮封帛”指婦女忠貞不渝。
【束戈卷甲】	捆起兵器甲冑。謂繳械投降。
【束廣就狹】	謂把豐富的內容概括為極少的文字。
【束肩斂息】	縮肩屏息。形容恭順的樣子。
【束教管聞】	謂學識淺陋，見聞不廣。
【束馬縣車】	見“束馬懸車”。
【束馬懸車】	亦作“束馬縣車”。包裹馬足，掛牢車子，以防滑跌傾覆。形容路險難行。
【束蒲為脯】	將捆束的蒲柳說成肉脯。謂有意顛倒黑白，混淆是非。
【束上起下】	猶承上啟下。多用於詩文評語。
【束身自愛】	又作：束身自修。
【束身自好】	①猶束身自修。②指只顧自己，不管天下大事。
【束身自修】	謂約束自己，不與壞人壞事同流合污。
【束手待斃】	捆住手等死。比喻遇到危難時不積極想辦法解決，卻坐等敗亡。
【束手待死】	同“束手待斃”。
【束手縛腳】	見“束手束腳”。
【束手就斃】	同“束手待斃”。
【束手就困】	謂無法擺脫困境。
【束手就禽】	見“束手就擒”。
【束手就擒】	謂捆起手來由人捉拿。形容無力反抗，甘被俘獲。
【束手就殪】	同“束手待斃”。
【束手旁觀】	猶袖手旁觀。比喻置身事外，不加過問。
【束手束腳】	捆住手腳。形容膽子小，顧慮多。
【束手束足】	見“束手束腳”。
【束手聽命】	拱手聽從命令。
【束手無策】	謂捆住雙手，無計可施。形容遇到問題沒有解決的辦法。
【束手無措】	同“束手無策”。
【束手無計】	同“束手無策”。
【束手無術】	同“束手無策”。
【束手自斃】	謂捆住雙手，自取滅亡。
【束手坐視】	拱著手，坐著看。比喻對應當管的事無能為力或不管不問。
【束修自好】	又作：束身自修。
【束縕還婦】	同“束縕請火”。
【束縕舉火】	同“束縕請火”。
【束縕請火】	用亂麻搓成引火物，持之向鄰家討火點燃。《漢書·蒯通傳》：“臣之裡婦，與裡之諸母相善也。裡婦夜亡肉，姑以為盜，怒而逐之。婦晨去，過所善諸母，語以事而謝之。裡母曰：‘女安行，我今令而家追女矣。’即束縕請火於亡肉家，曰：‘昨暮夜，犬得肉，爭鬥相殺，請火治之。’亡肉家遽追呼其婦。”《韓詩外傳》卷七亦有此說，“縕”作“藴”。後用為求助於人之典。唐李德裕《積薪賦》：“時束縕以請火，訪蓬茨於善鄰。”縕，一本作“藴”。亦省作“束縕”、“束藴”。唐駱賓王《上瑕丘韋明府君啟》：“是以臨邛遣婦，寄束縕於齊鄰；邯鄲下客，效處囊於趙相。”宋林逋《和酬周寺丞》：“門橫野水席凝塵，束縕誰能問乞鄰？”亦用為不出兒媳之典。
【束藴乞火】	同“束縕請火”。
【束藴請火】	見“束縕請火”。
【束在高閣】	同“束之高閣”。
【束杖理民】	謂治理百姓不濫用刑罰。形容為官寬仁愛民。束杖，收起刑具。
【束之高閣】	把東西捆起來放在高高的閣樓上面。謂棄置不用。
【束之高屋】	同“束之高閣”。
【束置高閣】	同“束之高閣”。
【束裝盜金】	《漢書·直不疑傳》：“其同舍有告歸，誤持其同舍郎金去。已而同舍郎覺，亡意不疑，不疑謝有之，買金償。後告歸者至而歸金，亡金郎大慚，以此稱為長者。”後因以“束裝盜金”謂無端見疑。
【述而不作】	闡述前人成說，自己並不創新。
【樹碑立傳】	把某人生平事蹟刻在碑上或寫成傳記加以頌揚。今多比喻通過某種途徑樹立個人威信，抬高個人聲望。
【樹大根深】	比喻勢力強大，根基牢固。
【樹大招風】	亦作“樹高招風”。樹木高大了，容易招致風的打擊。比喻名聲大了，容易招致事端。
【樹倒根摧】	樹幹傾倒，樹根毀壞。比喻人年邁體衰。
【樹倒猢猻散】	宋龐元英《談藪·曹詠妻》：“宋曹詠依附秦檜，官至侍郎，顯赫一時。依附者甚眾，獨其妻兄厲德斯不以為然。詠百端威脅，德斯卒不屈。及秦檜死，德斯遣人致書於曹詠，啟封，乃《樹倒猢猻散賦》一篇。”後因以“樹倒猢猻散”比喻以勢利相結合的人，為首者一倒台，依附的徒眾即四散。
【樹德務滋】	謂施行德政，務使其不斷增長。
【樹高千丈，葉落歸根】	樹長得再高，落葉還是要回到樹根。比喻離開故土時間再長，最後還是要回歸故土。
【樹高招風】	見“樹大招風”。
【樹上開花】	“三十六計”之一。亦比喻將本求利，別有收穫。
【樹俗立化】	樹立風俗教化。
【樹同拔異】	謂提倡相同的，排斥不同的。
【樹欲靜而風不寧】	同“樹欲靜而風不止”。
【樹欲靜而風不停】	同“樹欲靜而風不止”。
【樹欲靜而風不止】	樹要靜止，風卻不停息地颳得它搖動。比喻事物的客觀存在和發展不以人的意志為轉移。
【樹欲息而風不停】	同“樹欲靜而風不止”。
【樹元立嫡】	謂立嫡長子為儲君。
【豎起脊樑】	比喻振作精神，擔當大事。
【豎子成名】	《晉書·阮籍傳》：“（阮籍）嘗登廣武，觀楚漢戰處，嘆曰：‘時無英雄，使豎子成名。’”後指無能者僥倖得以成名。
【數白論黃】	計較金錢。白，銀；黃，金。
【數不勝數】	數也數不清。形容很多。
